name,total_enrollment,state,category,enrollment,state_code,type,degree_length,room_and_board,in_state_tuition,in_state_total,out_of_state_tuition,out_of_state_total,degree_year_length
Liberty University,81459,Virginia,Women,48329,VA,Private,4 Year,10478.0,25276,35754,25276,35754,4
Liberty University,81459,Virginia,American Indian / Alaska Native,447,VA,Private,4 Year,10478.0,25276,35754,25276,35754,4
Liberty University,81459,Virginia,Asian,856,VA,Private,4 Year,10478.0,25276,35754,25276,35754,4
Liberty University,81459,Virginia,Black,14751,VA,Private,4 Year,10478.0,25276,35754,25276,35754,4
Liberty University,81459,Virginia,Hispanic,1186,VA,Private,4 Year,10478.0,25276,35754,25276,35754,4
Liberty University,81459,Virginia,Native Hawaiian / Pacific Islander,151,VA,Private,4 Year,10478.0,25276,35754,25276,35754,4
Liberty University,81459,Virginia,White,39062,VA,Private,4 Year,10478.0,25276,35754,25276,35754,4
Liberty University,81459,Virginia,Two Or More Races,1772,VA,Private,4 Year,10478.0,25276,35754,25276,35754,4
Liberty University,81459,Virginia,Unknown,22198,VA,Private,4 Year,10478.0,25276,35754,25276,35754,4
Liberty University,81459,Virginia,Non-Resident Foreign,1036,VA,Private,4 Year,10478.0,25276,35754,25276,35754,4
Liberty University,81459,Virginia,Total Minority,19163,VA,Private,4 Year,10478.0,25276,35754,25276,35754,4
Miami Dade College,66046,Florida,Women,38323,FL,Public,2 Year,,3547,3547,12075,12075,2
Miami Dade College,66046,Florida,American Indian / Alaska Native,47,FL,Public,2 Year,,3547,3547,12075,12075,2
Miami Dade College,66046,Florida,Asian,655,FL,Public,2 Year,,3547,3547,12075,12075,2
Miami Dade College,66046,Florida,Black,10722,FL,Public,2 Year,,3547,3547,12075,12075,2
Miami Dade College,66046,Florida,Hispanic,44870,FL,Public,2 Year,,3547,3547,12075,12075,2
Miami Dade College,66046,Florida,Native Hawaiian / Pacific Islander,41,FL,Public,2 Year,,3547,3547,12075,12075,2
Miami Dade College,66046,Florida,White,4170,FL,Public,2 Year,,3547,3547,12075,12075,2
Miami Dade College,66046,Florida,Two Or More Races,226,FL,Public,2 Year,,3547,3547,12075,12075,2
Miami Dade College,66046,Florida,Unknown,1927,FL,Public,2 Year,,3547,3547,12075,12075,2
Miami Dade College,66046,Florida,Non-Resident Foreign,3388,FL,Public,2 Year,,3547,3547,12075,12075,2
Miami Dade College,66046,Florida,Total Minority,56561,FL,Public,2 Year,,3547,3547,12075,12075,2
Grand Canyon University,62304,Arizona,Women,46647,AZ,For Profit,4 Year,10100.0,27090,37190,27090,37190,4
Grand Canyon University,62304,Arizona,American Indian / Alaska Native,586,AZ,For Profit,4 Year,10100.0,27090,37190,27090,37190,4
Grand Canyon University,62304,Arizona,Asian,2446,AZ,For Profit,4 Year,10100.0,27090,37190,27090,37190,4
Grand Canyon University,62304,Arizona,Black,13856,AZ,For Profit,4 Year,10100.0,27090,37190,27090,37190,4
Grand Canyon University,62304,Arizona,Hispanic,8933,AZ,For Profit,4 Year,10100.0,27090,37190,27090,37190,4
Grand Canyon University,62304,Arizona,Native Hawaiian / Pacific Islander,295,AZ,For Profit,4 Year,10100.0,27090,37190,27090,37190,4
Grand Canyon University,62304,Arizona,White,28715,AZ,For Profit,4 Year,10100.0,27090,37190,27090,37190,4
Grand Canyon University,62304,Arizona,Two Or More Races,1558,AZ,For Profit,4 Year,10100.0,27090,37190,27090,37190,4
Grand Canyon University,62304,Arizona,Unknown,5915,AZ,For Profit,4 Year,10100.0,27090,37190,27090,37190,4
Grand Canyon University,62304,Arizona,Non-Resident Foreign,0,AZ,For Profit,4 Year,10100.0,27090,37190,27090,37190,4
Grand Canyon University,62304,Arizona,Total Minority,27674,AZ,For Profit,4 Year,10100.0,27090,37190,27090,37190,4
University of Central Florida,60767,Florida,Women,33482,FL,Public,4 Year,9617.0,6368,15985,22467,32084,4
University of Central Florida,60767,Florida,American Indian / Alaska Native,120,FL,Public,4 Year,9617.0,6368,15985,22467,32084,4
University of Central Florida,60767,Florida,Asian,3343,FL,Public,4 Year,9617.0,6368,15985,22467,32084,4
University of Central Florida,60767,Florida,Black,6400,FL,Public,4 Year,9617.0,6368,15985,22467,32084,4
University of Central Florida,60767,Florida,Hispanic,13108,FL,Public,4 Year,9617.0,6368,15985,22467,32084,4
University of Central Florida,60767,Florida,Native Hawaiian / Pacific Islander,129,FL,Public,4 Year,9617.0,6368,15985,22467,32084,4
University of Central Florida,60767,Florida,White,33293,FL,Public,4 Year,9617.0,6368,15985,22467,32084,4
University of Central Florida,60767,Florida,Two Or More Races,1841,FL,Public,4 Year,9617.0,6368,15985,22467,32084,4
University of Central Florida,60767,Florida,Unknown,1018,FL,Public,4 Year,9617.0,6368,15985,22467,32084,4
University of Central Florida,60767,Florida,Non-Resident Foreign,1515,FL,Public,4 Year,9617.0,6368,15985,22467,32084,4
University of Central Florida,60767,Florida,Total Minority,24941,FL,Public,4 Year,9617.0,6368,15985,22467,32084,4
Western Governors University,57821,Utah,Women,35024,UT,Private,4 Year,,6670,6670,6670,6670,4
Western Governors University,57821,Utah,American Indian / Alaska Native,360,UT,Private,4 Year,,6670,6670,6670,6670,4
Western Governors University,57821,Utah,Asian,2195,UT,Private,4 Year,,6670,6670,6670,6670,4
Western Governors University,57821,Utah,Black,5442,UT,Private,4 Year,,6670,6670,6670,6670,4
Western Governors University,57821,Utah,Hispanic,4291,UT,Private,4 Year,,6670,6670,6670,6670,4
Western Governors University,57821,Utah,Native Hawaiian / Pacific Islander,288,UT,Private,4 Year,,6670,6670,6670,6670,4
Western Governors University,57821,Utah,White,41898,UT,Private,4 Year,,6670,6670,6670,6670,4
Western Governors University,57821,Utah,Two Or More Races,1660,UT,Private,4 Year,,6670,6670,6670,6670,4
Western Governors University,57821,Utah,Unknown,1614,UT,Private,4 Year,,6670,6670,6670,6670,4
Western Governors University,57821,Utah,Non-Resident Foreign,73,UT,Private,4 Year,,6670,6670,6670,6670,4
Western Governors University,57821,Utah,Total Minority,14236,UT,Private,4 Year,,6670,6670,6670,6670,4
Walden University,52188,Minnesota,Women,39871,MN,For Profit,4 Year,,15045,15045,15045,15045,4
Walden University,52188,Minnesota,American Indian / Alaska Native,267,MN,For Profit,4 Year,,15045,15045,15045,15045,4
Walden University,52188,Minnesota,Asian,1343,MN,For Profit,4 Year,,15045,15045,15045,15045,4
Walden University,52188,Minnesota,Black,18914,MN,For Profit,4 Year,,15045,15045,15045,15045,4
Walden University,52188,Minnesota,Hispanic,3021,MN,For Profit,4 Year,,15045,15045,15045,15045,4
Walden University,52188,Minnesota,Native Hawaiian / Pacific Islander,116,MN,For Profit,4 Year,,15045,15045,15045,15045,4
Walden University,52188,Minnesota,White,20280,MN,For Profit,4 Year,,15045,15045,15045,15045,4
Walden University,52188,Minnesota,Two Or More Races,1090,MN,For Profit,4 Year,,15045,15045,15045,15045,4
Walden University,52188,Minnesota,Unknown,6618,MN,For Profit,4 Year,,15045,15045,15045,15045,4
